Items Report
"Sep 1, 2025 12:00 AM - Sep 30, 2025 11:59 PM"
"Requested on: Apr 2, 2026 5:00 PM"
Filters: Item Type = Revenue Items

Categories: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."
Items assigned to multiple categories are reported in just one category (the one created first).

Gross Sales,"$45,893.62"
Net Sales,"$45,803.30"
COGS,"$12,186.33"
Gross Profit,"$32,870.59"
Gross Profit Margin,71.76%

Category Name,Name,Gross Sales,Net Sales,Sold,Refunded,Modifier Name,Modifier Sold,Modifier Amount,Discounts,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
,Custom Item,$37.00,$37.00,1,0," "," ",-,$0.00,$0.00,0.08%,$37.00,-,-
,Custom Item,$36.75,$36.75,1,0," "," ",-,$0.00,$0.00,0.08%,$36.75,-,-
,Mini Schezwan Chakri.,$31.84,$31.84,16,0," "," ",-,$0.00,$0.00,0.07%,$1.99,$0.00,$31.84
,Cheese Chilly 150g,$21.89,$21.89,11,0," "," ",-,$0.00,$0.00,0.05%,$1.99,$0.00,$21.89
,Surati Nankhatai,$19.95,$19.95,5,0," "," ",-,$0.00,$0.00,0.04%,$3.99,$0.00,$19.95
,Vanilla Pound Cake,$17.45,$17.45,5,0," "," ",-,$0.00,$0.00,0.04%,$3.49,$12.45,$5.00
,Truti Frutti Pound Cake,$13.96,$13.96,4,0," "," ",-,$0.00,$0.00,0.03%,$3.49,$0.00,$13.96
,Sandwich Bread S/W 800,$11.97,$11.97,3,0," "," ",-,$0.00,$0.00,0.03%,$3.99,$0.00,$11.97
,Jaggery Oats Cookies,$10.47,$10.47,3,0," "," ",-,$0.00,$0.00,0.02%,$3.49,$0.00,$10.47
,Peri Peri Mini Chakri 120gm,$9.96,$9.96,4,0," "," ",-,$0.00,$0.00,0.02%,$2.49,$0.00,$9.96
,Yellow Banana Wafer.,$9.96,$9.96,4,0," "," ",-,$0.00,$0.00,0.02%,$2.49,$0.00,$9.96
,Ferrero Rocher Chocolate Cup,$6.99,$6.99,1,0," "," ",-,$0.00,$0.00,0.02%,$6.99,$0.00,$6.99
,Cashew Bite,$6.98,$6.98,2,0," "," ",-,$0.00,$0.00,0.02%,$3.49,$0.00,$6.98
,Tutty Frutty Pound Cake,$6.98,$6.98,2,0," "," ",-,$0.00,$0.00,0.02%,$3.49,$0.00,$6.98
,Surti Farmas Biscuit 200gm,$5.98,$5.98,2,0," "," ",-,$0.00,$0.00,0.01%,$2.99,$0.00,$5.98
,Walnut Chocolate Brownie,$5.98,$5.98,2,0," "," ",-,$0.00,$0.00,0.01%,$2.99,$0.00,$5.98
,Mini Pizza 4pk,$4.98,$4.98,2,0," "," ",-,$0.00,$0.00,0.01%,$2.49,$0.00,$4.98
