Items Report
"Feb 1, 2026 12:00 AM - Feb 28, 2026 11:59 PM"
"Requested on: Apr 2, 2026 4:58 PM"
Filters: Item Type = Revenue Items

Categories: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."
Items assigned to multiple categories are reported in just one category (the one created first).

Gross Sales,"$31,012.38"
Net Sales,"$30,641.50"
COGS,"$8,921.62"
Gross Profit,"$20,193.28"
Gross Profit Margin,65.90%

Category Name,Name,Gross Sales,Net Sales,Sold,Refunded,Modifier Name,Modifier Sold,Modifier Amount,Discounts,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
,Cheesy Garlic Bread,$107.88,$107.39,12,0," "," ",-,-$0.49,$0.00,0.35%,$8.95,$0.00,$107.39
,Mozzarella Sticks,$97.92,$95.64,20,0," "," ",-,-$2.28,$0.00,0.31%,$4.78,$0.00,$95.64
,Chole Kulcha,$83.17,$76.36,9,0," "," ",-,-$6.81,$0.00,0.25%,$8.48,$0.00,$76.36
,Cheese Pizza,$74.94,$74.94,6,0," "," ",-,$0.00,$0.00,0.24%,$12.49,$0.00,$74.94
,Potato Stuffed Grill Sandwich,$71.23,$64.53,7,0," "," ",-,-$6.70,$0.00,0.21%,$9.22,$0.00,$64.53
,Masala Fries,$56.30,$54.77,10,0," "," ",-,-$1.53,$0.00,0.18%,$5.48,$0.00,$54.77
,," "," "," "," ",No Masala,2,$0.00," "," "," "," "," "," "
,Spinach & Corn Sandwich,$45.16,$45.16,4,0," "," ",-,$0.00,$0.00,0.15%,$11.29,$0.00,$45.16
,Paneer Bhurji With Kulcha,$44.95,$44.95,5,0," "," ",-,$0.00,$0.00,0.15%,$8.99,-,-
,Grill Cheese Sandwich,$44.94,$44.94,6,0," "," ",-,$0.00,$0.00,0.15%,$7.49,$0.00,$44.94
,Jalapeño Poppers,$37.08,$37.08,8,0," "," ",-,$0.00,$0.00,0.12%,$4.64,$0.00,$37.08
,Pesto Paneer Pizza,$27.50,$27.50,2,0," "," ",-,$0.00,$0.00,0.09%,$13.75,$0.00,$27.50
,Chilly Cheese Toast,$23.97,$23.97,3,0," "," ",-,$0.00,$0.00,0.08%,$7.99,$0.00,$23.97
,Schezwan Paneer Roll,$17.98,$17.98,2,0," "," ",-,$0.00,$0.00,0.06%,$8.99,$0.00,$17.98
,Chutney Sandwich,$10.47,$10.47,3,0," "," ",-,$0.00,$0.00,0.03%,$3.49,$0.00,$10.47
,Bread Butter,$9.96,$9.96,4,0," "," ",-,$0.00,$0.00,0.03%,$2.49,$0.00,$9.96
,Extra Kulcha 1,$2.50,$2.50,2,0," "," ",-,$0.00,$0.00,0.01%,$1.25,$0.00,$2.50
Total (Snacks),,"$5,290.72","$5,069.65",568,2,-,58,$0.00,-$193.57,-$27.50,16.55%,$8.96,$0.00,"$3,893.48"

Cake 1LB
,Rasbhari rasmalai 1lb,$640.56,$630.65,24,0," "," ",-,-$9.91,$0.00,2.06%,$26.28,$342.96,$287.69
,Alphonso 1lb,$446.56,$446.56,20,0," "," ",-,$0.00,$0.00,1.46%,$22.33,$241.80,$204.76
,Ferrero Rocher 1lb,$404.85,$404.85,15,0," "," ",-,$0.00,$0.00,1.32%,$26.99,$214.35,$190.50
,Black Forest 1lb,$387.35,$376.59,17,0," "," ",-,-$10.76,$0.00,1.23%,$22.15,$205.53,$171.06
,Royal Cassatta 1lb,$363.86,$363.86,14,0," "," ",-,$0.00,$0.00,1.19%,$25.99,$200.06,$163.80
,Pine Butterscotch 1lb,$324.87,$324.87,13,0," "," ",-,$0.00,$0.00,1.06%,$24.99,$178.62,$146.25
,Red Velvet 1lb,$294.29,$288.56,11,0," "," ",-,-$5.73,$0.00,0.94%,$26.23,$157.19,$131.37
,Choco Delight 1lb,$277.40,$269.45,12,0," "," ",-,-$7.95,$0.00,0.88%,$22.45,$145.08,$124.37
