Items Report
"Aug 1, 2025 12:00 AM - Aug 31, 2025 11:59 PM"
"Requested on: Apr 2, 2026 5:01 PM"
Filters: Item Type = Revenue Items

Categories: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."
Items assigned to multiple categories are reported in just one category (the one created first).

Gross Sales,"$27,295.25"
Net Sales,"$27,215.86"
COGS,"$6,810.74"
Gross Profit,"$20,067.62"
Gross Profit Margin,73.74%

Category Name,Name,Gross Sales,Net Sales,Sold,Refunded,Modifier Name,Modifier Sold,Modifier Amount,Discounts,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
,Makkai Chevdo 200gm,$11.94,$11.94,6,0," "," ",-,$0.00,$0.00,0.04%,$1.99,-,-
,Manchurian Stick 200gm,$11.94,$11.94,6,0," "," ",-,$0.00,$0.00,0.04%,$1.99,$6.06,$5.88
,Bhakharwadi 200g,$9.95,$9.95,5,0," "," ",-,$0.00,$0.00,0.04%,$1.99,$0.00,$9.95
,Fulwadi 200gm,$9.95,$9.95,5,0," "," ",-,$0.00,$0.00,0.04%,$1.99,$0.00,$9.95
,Garlic Bhel,$9.75,$9.75,3,0," "," ",-,$0.00,$0.00,0.04%,$3.25,$3.27,$6.48
,"Surti Special ",$9.75,$9.75,3,0," "," ",-,$0.00,$0.00,0.04%,$3.25,$3.27,$6.48
,Black Pepper Mini Jar Chakri,$8.97,$8.97,3,0," "," ",-,$0.00,$0.00,0.03%,$2.99,$0.00,$8.97
,Tikha Farali chevdo 200gm,$8.25,$8.25,3,0," "," ",-,$0.00,$0.00,0.03%,$2.75,$0.00,$8.25
,Bhavnagri Gathiya 200gm,$7.96,$7.96,4,0," "," ",-,$0.00,$0.00,0.03%,$1.99,$0.00,$7.96
,Chapta Chana 200g,$7.96,$7.96,4,0," "," ",-,$0.00,$0.00,0.03%,$1.99,$0.00,$7.96
