Items Report
"Dec 1, 2025 12:00 AM - Dec 31, 2025 11:59 PM"
"Requested on: Apr 2, 2026 4:59 PM"
Filters: Item Type = Revenue Items

Categories: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."
Items assigned to multiple categories are reported in just one category (the one created first).

Gross Sales,"$41,041.45"
Net Sales,"$40,148.22"
COGS,"$11,171.97"
Gross Profit,"$27,851.42"
Gross Profit Margin,69.37%

Category Name,Name,Gross Sales,Net Sales,Sold,Refunded,Modifier Name,Modifier Sold,Modifier Amount,Discounts,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
,Sandwich Bread S/W 800,$71.82,$71.82,18,0," "," ",-,$0.00,$0.00,0.18%,$3.99,$0.00,$71.82
,Casatta Mousse,$65.89,$65.89,11,0," "," ",-,$0.00,$0.00,0.16%,$5.99,$0.00,$65.89
,Surti Rajbhog Ghari 500g,$59.95,$59.95,5,0," "," ",-,$0.00,$0.00,0.15%,$11.99,$0.00,$59.95
,Jeera Khari,$54.89,$54.89,11,0," "," ",-,$0.00,$0.00,0.14%,$4.99,$54.89,$0.00
,Methi Khari,$54.89,$54.89,11,0," "," ",-,$0.00,$0.00,0.14%,$4.99,$33.00,$21.89
,Surti Khari,$49.90,$49.90,10,0," "," ",-,$0.00,$0.00,0.12%,$4.99,$30.00,$19.90
,Kaju Katli 400gm,$41.97,$41.97,3,0," "," ",-,$0.00,$0.00,0.10%,$13.99,$0.00,$41.97
,Mathura Penda 400gm,$39.96,$39.96,4,0," "," ",-,$0.00,$0.00,0.10%,$9.99,$0.00,$39.96
,Kesar Penda 400gm,$29.97,$29.97,3,0," "," ",-,$0.00,$0.00,0.07%,$9.99,$0.00,$29.97
,Utsav,$9.99,$9.99,1,0," "," ",-,$0.00,$0.00,0.02%,$9.99,$0.00,$9.99
,pound cake,$9.98,$9.98,2,0," "," ",-,$0.00,$0.00,0.02%,$4.99,-,-
,Mini Schezwan Chakri.,$9.95,$9.95,5,0," "," ",-,$0.00,$0.00,0.02%,$1.99,$0.00,$9.95
,mango tres leche,$8.99,$8.99,1,0," "," ",-,$0.00,$0.00,0.02%,$8.99,-,-
,Custom Itempound cake,$4.99,$4.99,1,0," "," ",-,$0.00,$0.00,0.01%,$4.99,-,-
,choco chip pound cake,$4.99,$4.99,1,0," "," ",-,$0.00,$0.00,0.01%,$4.99,-,-
,Custom Item,$4.00,$4.00,4,0," "," ",-,$0.00,$0.00,0.01%,$1.00,-,-
,Plain Khari 200g,$2.99,$2.99,1,0," "," ",-,$0.00,$0.00,0.01%,$2.99,$0.00,$2.99
,Peri Peri Mini Chakri 120gm,$2.49,$2.49,1,0," "," ",-,$0.00,$0.00,0.01%,$2.49,$0.00,$2.49
,Custom Item,$2.00,$2.00,1,0," "," ",-,$0.00,$0.00,0.00%,$2.00,-,-
,Cheese Chilly 150g,$1.99,$1.99,1,0," "," ",-,$0.00,$0.00,0.00%,$1.99,$0.00,$1.99
Total (Uncategorized),,"$1,100.00","$1,100.00",151,0,-," ",$0.00,$0.00,$0.00,2.74%,$7.28,$327.54,$448.76

Breads
,Vada Dabeli Pav,$412.75,$412.75,127,0," "," ",-,$0.00,$0.00,1.03%,$3.25,$0.00,$412.75
,Maska Bun,$292.50,$292.50,130,0," "," ",-,$0.00,$0.00,0.73%,$2.25,$0.00,$292.50
,"Soft White Pizza Bread 7""",$110.00,$110.00,40,0," "," ",-,$0.00,$0.00,0.27%,$2.75,$54.80,$55.20
,Sandwich Bread 400g,$99.00,$99.00,36,0," "," ",-,$0.00,$0.00,0.25%,$2.75,$0.00,$99.00
,Kulcha Bread,$45.00,$45.00,20,0," "," ",-,$0.00,$0.00,0.11%,$2.25,$10.00,$35.00
,"Mini Pizza Bread 4""",$19.25,$19.25,7,0," "," ",-,$0.00,$0.00,0.05%,$2.75,$9.59,$9.66
,Bhaji Pav,$18.75,$18.75,5,0," "," ",-,$0.00,$0.00,0.05%,$3.75,$0.00,$18.75
,Sandwich Bread 800gm,$17.00,$17.00,4,0," "," ",-,$0.00,$0.00,0.04%,$4.25,$0.00,$17.00
,Milk & Fruit Bread,$16.50,$16.50,6,0," "," ",-,$0.00,$0.00,0.04%,$2.75,$8.22,$8.28
,Burger Bun,$11.25,$11.25,5,0," "," ",-,$0.00,$0.00,0.03%,$2.25,$0.00,$11.25
Total (Breads),,"$1,042.00","$1,042.00",380,0,-," ",$0.00,$0.00,$0.00,2.60%,$2.74,$82.61,$959.39

Shakes
,Oreo Shake,$84.91,$84.91,9,0," "," ",-,$0.00,$0.00,0.21%,$9.43,$0.00,$84.91
,," "," "," "," ",Medium,7,$0.00," "," "," "," "," "," "
,," "," "," "," ",Large,2,$4.00," "," "," "," "," "," "
,Ferrero Rocher Shake,$71.93,$71.93,7,0," "," ",-,$0.00,$0.00,0.18%,$10.28,$0.00,$71.93
,," "," "," "," ",Medium,6,$0.00," "," "," "," "," "," "
,," "," "," "," ",Large,1,$2.00," "," "," "," "," "," "
,Chocolate Chip Brownie Shake,$67.92,$67.92,8,0," "," ",-,$0.00,$0.00,0.17%,$8.49,$0.00,$67.92
,," "," "," "," ",Medium,7,$0.00," "," "," "," "," "," "
,," "," "," "," ",Large,1,$2.00," "," "," "," "," "," "
,Pine Butterscotch Shake,$65.92,$65.92,8,0," "," ",-,$0.00,$0.00,0.16%,$8.24,$0.00,$65.92
,," "," "," "," ",Medium,7,$0.00," "," "," "," "," "," "
,," "," "," "," ",Large,1,$2.00," "," "," "," "," "," "
,Strawberry Shake,$41.95,$41.95,5,0," "," ",-,$0.00,$0.00,0.10%,$8.39,$0.00,$41.95
,," "," "," "," ",Medium,4,$0.00," "," "," "," "," "," "
,," "," "," "," ",Large,1,$2.00," "," "," "," "," "," "
,Red Velvet Shake,$37.96,$37.96,4,0," "," ",-,$0.00,$0.00,0.09%,$9.49,$0.00,$37.96
,," "," "," "," ",Medium,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Large,1,$2.00," "," "," "," "," "," "
,Rich Alphonso,$29.96,$29.96,4,0," "," ",-,$0.00,$0.00,0.07%,$7.49,$0.00,$29.96
,," "," "," "," ",Medium,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Large,1,$2.00," "," "," "," "," "," "
,Nutty Rose Shake,$13.25,$13.25,1,0," "," ",-,$0.00,$0.00,0.03%,$13.25,$0.00,$13.25
,," "," "," "," ",Large,1,$2.00," "," "," "," "," "," "
,Walnut Brownie Shake,$8.99,$8.99,1,0," "," ",-,$0.00,$0.00,0.02%,$8.99,$0.00,$8.99
,," "," "," "," ",Medium,1,$0.00," "," "," "," "," "," "
,Choco Latte Shake,$7.99,$7.99,1,0," "," ",-,$0.00,$0.00,0.02%,$7.99,$0.00,$7.99
,," "," "," "," ",Medium,1,$0.00," "," "," "," "," "," "
Total (Shakes),,$430.78,$430.78,48,0,-,48,$18.00,$0.00,$0.00,1.07%,$8.97,$0.00,$430.78

Namkeens
,Dryfruit Kachori 400g,$159.84,$159.84,16,0," "," ",-,$0.00,$0.00,0.40%,$9.99,$64.80,$95.04
,Yellow Banana Wafer,$19.25,$19.25,7,0," "," ",-,$0.00,$0.00,0.05%,$2.75,$0.00,$19.25
,Moong Dal 200g,$17.91,$17.91,9,0," "," ",-,$0.00,$0.00,0.04%,$1.99,$10.26,$7.65
,Chapta Chana 200g,$15.92,$15.92,8,0," "," ",-,$0.00,$0.00,0.04%,$1.99,$0.00,$15.92
,Jeera Mini Jar Chakri,$14.95,$14.95,5,0," "," ",-,$0.00,$0.00,0.04%,$2.99,$0.00,$14.95
,Spicy Crispy Gathiya,$13.00,$13.00,4,0," "," ",-,$0.00,$0.00,0.03%,$3.25,$4.36,$8.64
,Black Pepper Mini Jar Chakri,$11.96,$11.96,4,0," "," ",-,$0.00,$0.00,0.03%,$2.99,$0.00,$11.96
,Chana Dal,$11.94,$11.94,6,0," "," ",-,$0.00,$0.00,0.03%,$1.99,$0.00,$11.94
,Naylon Sev 200gm,$11.94,$11.94,6,0," "," ",-,$0.00,$0.00,0.03%,$1.99,-,-
,Banana Mari Wafer 200g,$11.00,$11.00,4,0," "," ",-,$0.00,$0.00,0.03%,$2.75,$0.00,$11.00
,Bombay Mix 200gm,$9.95,$9.95,5,0," "," ",-,$0.00,$0.00,0.02%,$1.99,-,-
,Ratlami Sev 200gm,$9.95,$9.95,5,0," "," ",-,$0.00,$0.00,0.02%,$1.99,$0.00,$9.95
,Spicy Crispy Gathiya 200gm,$9.95,$9.95,5,0," "," ",-,$0.00,$0.00,0.02%,$1.99,$0.00,$9.95
,Sweet Farali Chevdo 200gm,$8.25,$8.25,3,0," "," ",-,$0.00,$0.00,0.02%,$2.75,$0.00,$8.25
,Tikha Farali chevdo 200gm,$8.25,$8.25,3,0," "," ",-,$0.00,$0.00,0.02%,$2.75,$0.00,$8.25
,Bhakharwadi 200g,$7.96,$7.96,4,0," "," ",-,$0.00,$0.00,0.02%,$1.99,$0.00,$7.96
,Garlic Bhel 200gm,$7.96,$7.96,4,0," "," ",-,$0.00,$0.00,0.02%,$1.99,-,-
,Makkai Chevdo 200gm,$7.96,$7.96,4,0," "," ",-,$0.00,$0.00,0.02%,$1.99,-,-
,Sing Bhujia 200g,$7.96,$7.96,4,0," "," ",-,$0.00,$0.00,0.02%,$1.99,$4.52,$3.44
,Garlic Bhel,$6.50,$6.50,2,0," "," ",-,$0.00,$0.00,0.02%,$3.25,$2.18,$4.32
,Papad Chavanu 200gm,$5.50,$5.50,2,0," "," ",-,$0.00,$0.00,0.01%,$2.75,$0.00,$5.50
,Chaat Puri 200gm,$3.98,$3.98,2,0," "," ",-,$0.00,$0.00,0.01%,$1.99,$0.00,$3.98
,Surti Special 200gm,$3.98,$3.98,2,0," "," ",-,$0.00,$0.00,0.01%,$1.99,-,-
,Bombay Mix,$3.25,$3.25,1,0," "," ",-,$0.00,$0.00,0.01%,$3.25,$1.09,$2.16
,Navratna Mix,$3.25,$3.25,1,0," "," ",-,$0.00,$0.00,0.01%,$3.25,$1.09,$2.16
,Plain Sev,$3.25,$3.25,1,0," "," ",-,$0.00,$0.00,0.01%,$3.25,$1.06,$2.19
,Ratlami Sev,$3.25,$3.25,1,0," "," ",-,$0.00,$0.00,0.01%,$3.25,$1.78,$1.47
,Kenyan Chevdo 200gm,$2.75,$2.75,1,0," "," ",-,$0.00,$0.00,0.01%,$2.75,$0.00,$2.75
,Bhavnagri Gathiya 200gm,$1.99,$1.99,1,0," "," ",-,$0.00,$0.00,0.00%,$1.99,$0.00,$1.99
